account.id,total_deposits_usd,deposit_tx_count,first_deposit,last_deposit,total_withdraws_usd,withdraws_tx_count,first_withdraws,last_withdraws,total_borrows_usd,borrows_tx_count,first_borrows,last_borrows,total_repays_usd,repays_tx_count,first_repays,last_repays,total_liquidations_usd,liquidation_tx_count,first_liquidation,last_liquidation,net_deposit_usd,net_borrow_usd,first_action,last_action,active_days,total_tx_count,total_volume_usd,avg_tx_value_usd,deposit_to_borrow_ratio,repay_ratio,liquidation_rate,label,score
0x0004d2a2f9a823c1a585fde6514a17ff695e0001,,0.0,,,10140.559404388065,1.0,2019-09-26 19:43:48,2019-09-26 19:43:48,,0.0,,,,0.0,,,,0.0,,,-10140.559404388065,0.0,2019-09-26 19:43:48,2019-09-26 19:43:48,0.0,1.0,10140.559404388065,10140.559404388065,0.0,0.0,0.0,0,37.07500175378091
0x6dbcbb17edc34b854c0cd556361449be30468f80,,0.0,,,10151.941527,1.0,2020-08-12 13:30:44,2020-08-12 13:30:44,,0.0,,,,0.0,,,,0.0,,,-10151.941527,0.0,2020-08-12 13:30:44,2020-08-12 13:30:44,0.0,1.0,10151.941527,10151.941527,0.0,0.0,0.0,0,37.075001022154375
0x7c63ff66def3006f34b265b149a6c46f5e93672f,,0.0,,,10158.301219933333,1.0,2020-08-27 20:00:50,2020-08-27 20:00:50,,0.0,,,,0.0,,,,0.0,,,-10158.301219933333,0.0,2020-08-27 20:00:50,2020-08-27 20:00:50,0.0,1.0,10158.301219933333,10158.301219933333,0.0,0.0,0.0,0,37.07500061336242
0x5a849bf6ee3e689e1d9edf47caf55ff7da3c160f,,0.0,,,10159.220267034794,2.0,2020-08-27 18:32:13,2020-08-27 18:35:23,,0.0,,,,0.0,,,,0.0,,,-10159.220267034794,0.0,2020-08-27 18:32:13,2020-08-27 18:35:23,0.0,2.0,10159.220267034794,5079.610133517397,0.0,0.0,0.0,0,37.0750005542874
0x3b82b63ccccc2d136d79c2b36ff10c25cb39e3a4,,0.0,,,10164.566795899547,1.0,2020-08-10 13:55:24,2020-08-10 13:55:24,,0.0,,,,0.0,,,,0.0,,,-10164.566795899547,0.0,2020-08-10 13:55:24,2020-08-10 13:55:24,0.0,1.0,10164.566795899547,10164.566795899547,0.0,0.0,0.0,0,37.07500021062019
0xbff9bb1ccc040f2da66cceefdd5730caf6a2f7b9,,0.0,,,10169.38438455874,1.0,2020-06-26 06:46:59,2020-06-26 06:46:59,,0.0,,,,0.0,,,,0.0,,,-10169.38438455874,0.0,2020-06-26 06:46:59,2020-06-26 06:46:59,0.0,1.0,10169.38438455874,10169.38438455874,0.0,0.0,0.0,0,37.07499990095249
0xb3f5fc411e8166689853657aa6bc0293e06cfd7d,,0.0,,,10178.723806603599,1.0,2019-09-06 21:56:43,2019-09-06 21:56:43,,0.0,,,,0.0,,,,0.0,,,-10178.723806603599,0.0,2019-09-06 21:56:43,2019-09-06 21:56:43,0.0,1.0,10178.723806603599,10178.723806603599,0.0,0.0,0.0,0,37.07499930062781
0x38f8eed662c9f8093889b2e3d9e6cbf751559e77,,0.0,,,10210.480805,1.0,2020-08-22 01:46:48,2020-08-22 01:46:48,,0.0,,,,0.0,,,,0.0,,,-10210.480805,0.0,2020-08-22 01:46:48,2020-08-22 01:46:48,0.0,1.0,10210.480805,10210.480805,0.0,0.0,0.0,0,37.074997259333465
0x9caabb6806988c770ec887bda3c63362e6a8ff51,,0.0,,,10258.949932,1.0,2020-06-21 08:18:14,2020-06-21 08:18:14,,0.0,,,,0.0,,,,0.0,,,-10258.949932,0.0,2020-06-21 08:18:14,2020-06-21 08:18:14,0.0,1.0,10258.949932,10258.949932,0.0,0.0,0.0,0,37.07499414380744
0xc2e1811fc22cce1cab54357d1d3bfdc236c6ae46,,0.0,,,10264.270223511337,1.0,2020-08-11 02:36:59,2020-08-11 02:36:59,,0.0,,,,0.0,,,,0.0,,,-10264.270223511337,0.0,2020-08-11 02:36:59,2020-08-11 02:36:59,0.0,1.0,10264.270223511337,10264.270223511337,0.0,0.0,0.0,0,37.07499380182673
0xdd76dffda3bed844193dc986f295ab3ee6cba8df,,0.0,,,10264.775635,1.0,2019-09-12 17:19:48,2019-09-12 17:19:48,,0.0,,,,0.0,,,,0.0,,,-10264.775635,0.0,2019-09-12 17:19:48,2019-09-12 17:19:48,0.0,1.0,10264.775635,10264.775635,0.0,0.0,0.0,0,37.07499376933959
0xe2818b0f45dd8182db1b2c74146c80da896e80b7,,0.0,,,10296.994366106432,1.0,2019-10-06 12:44:39,2019-10-06 12:44:39,,0.0,,,,0.0,,,,0.0,,,-10296.994366106432,0.0,2019-10-06 12:44:39,2019-10-06 12:44:39,0.0,1.0,10296.994366106432,10296.994366106432,0.0,0.0,0.0,0,37.07499169836572
0xd3f687d746e1c98b9cdb2398f646546a7dc87fd8,,0.0,,,10315.58839149682,1.0,2020-08-22 15:01:55,2020-08-22 15:01:55,,0.0,,,,0.0,,,,0.0,,,-10315.58839149682,0.0,2020-08-22 15:01:55,2020-08-22 15:01:55,0.0,1.0,10315.58839149682,10315.58839149682,0.0,0.0,0.0,0,37.074990503168415
0xa9627907f4ece83fdd56773f4b67cd6022e34f39,,0.0,,,10324.15582299948,2.0,2020-06-25 12:32:27,2020-06-25 12:38:15,,0.0,,,,0.0,,,,0.0,,,-10324.15582299948,0.0,2020-06-25 12:32:27,2020-06-25 12:38:15,0.0,2.0,10324.15582299948,5162.07791149974,0.0,0.0,0.0,0,37.07498995246618
0xfa9123867198d4d2a749a7408e2f62a4670a3922,,0.0,,,10327.137593870317,1.0,2020-08-23 00:21:24,2020-08-23 00:21:24,,0.0,,,,0.0,,,,0.0,,,-10327.137593870317,0.0,2020-08-23 00:21:24,2020-08-23 00:21:24,0.0,1.0,10327.137593870317,10327.137593870317,0.0,0.0,0.0,0,37.074989760802225
0x9fcd694fdde8820563476bad8f96e433c73e51fa,,0.0,,,10328.520081463215,1.0,2020-08-25 14:47:32,2020-08-25 14:47:32,,0.0,,,,0.0,,,,0.0,,,-10328.520081463215,0.0,2020-08-25 14:47:32,2020-08-25 14:47:32,0.0,1.0,10328.520081463215,10328.520081463215,0.0,0.0,0.0,0,37.07498967193792
0x0a69757f33f32548d506744c82071ec26d1e9818,,0.0,,,10341.49329,1.0,2020-06-22 02:53:24,2020-06-22 02:53:24,,0.0,,,,0.0,,,,0.0,,,-10341.49329,0.0,2020-06-22 02:53:24,2020-06-22 02:53:24,0.0,1.0,10341.49329,10341.49329,0.0,0.0,0.0,0,37.07498883803866
0x843c7de3eac3bf31ea958028a1d342eae1f3daa5,,0.0,,,10343.982858291722,1.0,2020-06-22 17:11:03,2020-06-22 17:11:03,,0.0,,,,0.0,,,,0.0,,,-10343.982858291722,0.0,2020-06-22 17:11:03,2020-06-22 17:11:03,0.0,1.0,10343.982858291722,10343.982858291722,0.0,0.0,0.0,0,37.07498867801278
0x2f094239bfb8df45548815e2d57546b7b5541f40,,0.0,,,10345.184364,1.0,2020-08-17 18:13:56,2020-08-17 18:13:56,,0.0,,,,0.0,,,,0.0,,,-10345.184364,0.0,2020-08-17 18:13:56,2020-08-17 18:13:56,0.0,1.0,10345.184364,10345.184364,0.0,0.0,0.0,0,37.07498860078171
